term_display_name,description,steward,tagged_assets,synonyms,related_terms,belongs_to_category
Inbound Freight Dock Turnaround Time,"The duration in minutes taken to unload, inspect, and stage freight carrier shipments at warehouse inbound dock doors.",LumièreShop Data Governance <governance@lumiereshop.internal>,"inbound_dock_appointments:scheduled_time, inbound_dock_appointments:unloaded_time","dock dwell time, inbound unloading duration, dock door turnaround, dock cycle time","Out of Stock (OOS / Stockout), Stockout Estimated Lost Revenue, Safety Stock Level, Supplier OTIF (On-Time In-Full Delivery %), Supplier Inbound Defect Rate (%)",Supply Chain & Warehousing
Out of Stock (OOS / Stockout),State when physical inventory quantity for an active product at a distribution center drops to zero or below.,LumièreShop Data Governance <governance@lumiereshop.internal>,"inventory_items:quantity_on_hand, inventory_snapshots:is_out_of_stock","stockout, unavailable, sold out, inventory depletion, zero stock","Stockout Estimated Lost Revenue, Safety Stock Level, Supplier OTIF (On-Time In-Full Delivery %), Supplier Inbound Defect Rate (%), Inbound Freight Dock Turnaround Time",Supply Chain & Warehousing
Pallet Inventory & Intercompany Transfer Pricing,Warehouse pallet-level location tracking and cross-border intercompany transfer pricing allocations.,LumièreShop Data Governance <governance@lumiereshop.internal>,"intercompany_transfer_pricing:transfer_price_eur, pallet_inventory_locations:pallet_id, payment_gateway_fee_schedules:fee_percentage","pallet tracking, intercompany transfer, cross-border entity pricing","Out of Stock (OOS / Stockout), Stockout Estimated Lost Revenue, Safety Stock Level, Supplier OTIF (On-Time In-Full Delivery %), Supplier Inbound Defect Rate (%)",Supply Chain & Warehousing
Purchase Order (PO) Fill Rate,Percentage of ordered units successfully received against supplier purchase order line commitments.,LumièreShop Data Governance <governance@lumiereshop.internal>,"purchase_order_line_items:ordered_quantity, purchase_orders:po_status","PO fulfillment rate, supplier fill rate, procurement receipt ratio","Out of Stock (OOS / Stockout), Stockout Estimated Lost Revenue, Safety Stock Level, Supplier OTIF (On-Time In-Full Delivery %), Supplier Inbound Defect Rate (%)",Supply Chain & Warehousing
Safety Stock Level,Minimum threshold buffer quantity maintained in warehouse to prevent unexpected stockouts during demand surges.,LumièreShop Data Governance <governance@lumiereshop.internal>,inventory_items:safety_stock_level,"buffer stock, safety inventory, reorder point","Out of Stock (OOS / Stockout), Stockout Estimated Lost Revenue, Supplier OTIF (On-Time In-Full Delivery %), Supplier Inbound Defect Rate (%), Inbound Freight Dock Turnaround Time",Supply Chain & Warehousing
Stockout Estimated Lost Revenue,Calculated monetary loss incurred when high-intent shoppers attempt to purchase an out-of-stock SKU.,LumièreShop Data Governance <governance@lumiereshop.internal>,oos_interactions:pot_val,"OOS lost revenue, stockout loss, unrealized sales, missed demand","Out of Stock (OOS / Stockout), Safety Stock Level, Supplier OTIF (On-Time In-Full Delivery %), Supplier Inbound Defect Rate (%), Inbound Freight Dock Turnaround Time",Supply Chain & Warehousing
Supplier Inbound Defect Rate (%),The percentage of received procurement units rejected during inbound warehouse quality inspection due to manufacturer defects.,LumièreShop Data Governance <governance@lumiereshop.internal>,"purchase_order_line_items:unit_cost_eur, supplier_quality_scorecards:defect_rate_pct","vendor defect rate, inbound scrap rate, supplier defect percentage, material rejection rate","Out of Stock (OOS / Stockout), Stockout Estimated Lost Revenue, Safety Stock Level, Supplier OTIF (On-Time In-Full Delivery %), Inbound Freight Dock Turnaround Time",Supply Chain & Warehousing
Supplier OTIF (On-Time In-Full Delivery %),Inbound supply chain delivery performance metric measuring vendor purchase orders received strictly on schedule and complete.,LumièreShop Data Governance <governance@lumiereshop.internal>,"purchase_orders:po_id, supplier_quality_scorecards:otif_delivery_pct","OTIF, on time in full, vendor delivery reliability, procurement fulfillment rate","Out of Stock (OOS / Stockout), Stockout Estimated Lost Revenue, Safety Stock Level, Supplier Inbound Defect Rate (%), Inbound Freight Dock Turnaround Time",Supply Chain & Warehousing
Supplier On-Time Inbound Delivery (OTD) Rate,Percentage of supplier purchase orders delivered to fulfillment hubs on or before the agreed contractual SLA date.,LumièreShop Data Governance <governance@lumiereshop.internal>,"supplier_lead_time_history:actual_lead_time_days, supplier_quality_scorecards:overall_score, suppliers_master:country_code","supplier OTD, inbound delivery timeliness, supplier SLA compliance","Out of Stock (OOS / Stockout), Stockout Estimated Lost Revenue, Safety Stock Level, Supplier OTIF (On-Time In-Full Delivery %), Supplier Inbound Defect Rate (%)",Supply Chain & Warehousing
Warehouse Aisle & Rack Cube Utilization,Percentage of total volumetric storage capacity currently occupied across warehouse aisles and storage racks.,LumièreShop Data Governance <governance@lumiereshop.internal>,"warehouse_aisles_and_racks:utilization_pct, warehouse_labor_shifts:hours_worked, warehouse_zones:zone_type","storage rack density, cube utilization, warehouse space utilization, aisle occupancy","Out of Stock (OOS / Stockout), Stockout Estimated Lost Revenue, Safety Stock Level, Supplier OTIF (On-Time In-Full Delivery %), Supplier Inbound Defect Rate (%)",Supply Chain & Warehousing
Black Week Monday (2026-11-23),"The opening day of Black Week 2026 on Monday, November 23, 2026 (Day 1 of promotional campaign).",LumièreShop Data Governance <governance@lumiereshop.internal>,"daily_ad_performance:date, daily_category_targets:date, order_items:created_at, orders:created_at","monday of this week, black week monday, start of black week, day 1 of black week, nov 23, first day of black week","This Week (Black Week 2026), Today (Black Friday 2026-11-27), Yesterday (Black Thursday / Thanksgiving 2026-11-26), Previous Week (Pre-Black Week Baseline 2026-11-16 to 2026-11-22), Two Weeks Ago (2026-11-09 to 2026-11-15)",Temporal Simulation & Calendar Context
Black Week Thursday / Thanksgiving (2026-11-26),"Thursday, November 26, 2026 of Black Week (Day 4 of the promotional campaign calendar, corresponding to Thanksgiving / Black Thursday). Used to evaluate pre-Black Friday customer traffic surge, advertising campaign pacing, and promotional intake.",LumièreShop Data Governance <governance@lumiereshop.internal>,"ad_bidding_log:timestamp, daily_ad_performance:date, daily_category_targets:date, order_items:created_at, orders:created_at","thursday of this week, black week thursday, thanksgiving, black thursday, nov 26, day 4 of black week","This Week (Black Week 2026), Today (Black Friday 2026-11-27), Yesterday (Black Thursday / Thanksgiving 2026-11-26), Previous Week (Pre-Black Week Baseline 2026-11-16 to 2026-11-22), Two Weeks Ago (2026-11-09 to 2026-11-15)",Temporal Simulation & Calendar Context
Black Week Tuesday (2026-11-24),"Tuesday, November 24, 2026 of Black Week (Day 2 of the promotional campaign calendar). Used to evaluate second-day promotional intake, category conversion rates, and inventory velocity across regional distribution centers.",LumièreShop Data Governance <governance@lumiereshop.internal>,"daily_category_targets:date, inventory_snapshots:recorded_at, oos_interactions:clicked_at, order_items:created_at, orders:created_at","tuesday of this week, black week tuesday, tuesday actuals, nov 24, day 2 of black week","This Week (Black Week 2026), Today (Black Friday 2026-11-27), Yesterday (Black Thursday / Thanksgiving 2026-11-26), Previous Week (Pre-Black Week Baseline 2026-11-16 to 2026-11-22), Two Weeks Ago (2026-11-09 to 2026-11-15)",Temporal Simulation & Calendar Context
Black Week Wednesday (2026-11-25),"Wednesday, November 25, 2026 of Black Week (Day 3 of the promotional campaign calendar). Used to evaluate mid-week promotional sales velocity, customer basket composition, and recommender engagement across digital storefronts.",LumièreShop Data Governance <governance@lumiereshop.internal>,"catalog_recommender_logs:recorded_at, daily_category_targets:date, order_items:created_at, orders:created_at","wednesday of this week, black week wednesday, mid-week, wednesday actuals, nov 25, day 3 of black week","This Week (Black Week 2026), Today (Black Friday 2026-11-27), Yesterday (Black Thursday / Thanksgiving 2026-11-26), Previous Week (Pre-Black Week Baseline 2026-11-16 to 2026-11-22), Two Weeks Ago (2026-11-09 to 2026-11-15)",Temporal Simulation & Calendar Context
Current Time / Black Friday Cutoff (2026-11-27 14:30 UTC),"The operational reporting cutoff timestamp for LumièreShop: Friday, November 27, 2026 at 14:30:00 UTC (Black Friday early afternoon). Represents the latest available real-time operational and transactional data point in the data warehouse.",LumièreShop Data Governance <governance@lumiereshop.internal>,"agent_interaction_logs:timestamp, category_15min_targets:time_interval, orders:created_at, sales_event_stream:timestamp","now, current time, right now, current moment, as of now, reporting cutoff, data cutoff, present time, latest available data, real time now","This Week (Black Week 2026), Today (Black Friday 2026-11-27), Yesterday (Black Thursday / Thanksgiving 2026-11-26), Previous Week (Pre-Black Week Baseline 2026-11-16 to 2026-11-22), Two Weeks Ago (2026-11-09 to 2026-11-15)",Temporal Simulation & Calendar Context
Cyber Monday (2026-11-30),"The final day of the 8-day Black Week promotional campaign, taking place on Monday, November 30, 2026. Commercial targets and promotional schedules are planned through this date.",LumièreShop Data Governance <governance@lumiereshop.internal>,"category_15min_targets:date, daily_category_targets:date, weekly_commercial_targets:week_start_date","cyber monday, cyber monday 2026, cm 2026, end of black week, cyber week finale, cyber monday targets","This Week (Black Week 2026), Today (Black Friday 2026-11-27), Yesterday (Black Thursday / Thanksgiving 2026-11-26), Previous Week (Pre-Black Week Baseline 2026-11-16 to 2026-11-22), Two Weeks Ago (2026-11-09 to 2026-11-15)",Temporal Simulation & Calendar Context
Fourth Quarter / Q4 2026 (2026-10-01 to 2026-12-31),"The fourth financial and operational quarter of 2026 (Q4), spanning October 1, 2026 through December 31, 2026 (with historical and Black Week actuals recorded up to Friday, November 27, 2026 14:30:00 UTC).",LumièreShop Data Governance <governance@lumiereshop.internal>,"daily_category_targets:date, orders:created_at, weekly_commercial_targets:week_start_date","q4, q4 2026, fourth quarter, this quarter, current quarter, holiday quarter, q4 revenue, q4 targets","This Week (Black Week 2026), Today (Black Friday 2026-11-27), Yesterday (Black Thursday / Thanksgiving 2026-11-26), Previous Week (Pre-Black Week Baseline 2026-11-16 to 2026-11-22), Two Weeks Ago (2026-11-09 to 2026-11-15)",Temporal Simulation & Calendar Context
Historical Baseline Period (2026-10-11 to 2026-11-22),"The 6-week historical baseline period in ecommerce_dw spanning October 11, 2026 to November 22, 2026, capturing steady-state operations, seasonal trends, and baseline run-rates prior to Black Week promotional surge.",LumièreShop Data Governance <governance@lumiereshop.internal>,"daily_ad_performance:date, inventory_snapshots:recorded_at, order_items:created_at, orders:created_at, web_sessions:session_started_at","historical baseline, past 6 weeks, last 6 weeks, pre-event period, historical actuals, baseline period, historical trend, 6 week history","This Week (Black Week 2026), Today (Black Friday 2026-11-27), Yesterday (Black Thursday / Thanksgiving 2026-11-26), Previous Week (Pre-Black Week Baseline 2026-11-16 to 2026-11-22), Two Weeks Ago (2026-11-09 to 2026-11-15)",Temporal Simulation & Calendar Context
Intraday 15-Minute Pacing Intervals (Today / Black Friday),"15-minute granular pacing intervals on Black Friday (96 intervals per day), from 00:00 UTC up to 14:30 UTC for actuals, and full day for planned targets.",LumièreShop Data Governance <governance@lumiereshop.internal>,"category_15min_targets:time_interval, sales_event_stream:timestamp","15-minute pacing, hourly pacing, intraday pacing, real-time pacing, 15min targets, today's curve, intraday revenue, hourly sales","This Week (Black Week 2026), Today (Black Friday 2026-11-27), Yesterday (Black Thursday / Thanksgiving 2026-11-26), Previous Week (Pre-Black Week Baseline 2026-11-16 to 2026-11-22), Two Weeks Ago (2026-11-09 to 2026-11-15)",Temporal Simulation & Calendar Context
Last Month (October 2026),"In the LumièreShop simulation, 'last month' (or 'previous month') refers to October 2026, containing historical baseline data in the dataset (October 11, 2026 through October 31, 2026).",LumièreShop Data Governance <governance@lumiereshop.internal>,"daily_ad_performance:date, order_items:created_at, orders:created_at, web_sessions:session_started_at","last month, previous month, prior month, october 2026, october sales, october revenue, past month","This Week (Black Week 2026), Today (Black Friday 2026-11-27), Yesterday (Black Thursday / Thanksgiving 2026-11-26), Previous Week (Pre-Black Week Baseline 2026-11-16 to 2026-11-22), Two Weeks Ago (2026-11-09 to 2026-11-15)",Temporal Simulation & Calendar Context
Previous Week (Pre-Black Week Baseline 2026-11-16 to 2026-11-22),"In the LumièreShop simulation, 'previous week' (or 'last week') refers to the full 7-day pre-promotional baseline week immediately preceding Black Week, spanning Monday, November 16, 2026 through Sunday, November 22, 2026. SQL queries comparing current performance against last week must use this date range.",LumièreShop Data Governance <governance@lumiereshop.internal>,"daily_ad_performance:date, order_items:created_at, orders:created_at, web_sessions:session_started_at","previous week, last week, prior week, pre-black week, pre-promotional baseline week, week before black week, baseline week, last week's sales, previous week's revenue","This Week (Black Week 2026), Today (Black Friday 2026-11-27), Yesterday (Black Thursday / Thanksgiving 2026-11-26), Two Weeks Ago (2026-11-09 to 2026-11-15), This Month (November 2026 MTD)",Temporal Simulation & Calendar Context
This Month (November 2026 MTD),"In the LumièreShop simulation, 'this month' refers to November 2026 Month-to-Date (MTD), spanning from November 1, 2026 00:00:00 UTC up to the simulation cutoff on Friday, November 27, 2026 14:30:00 UTC.",LumièreShop Data Governance <governance@lumiereshop.internal>,"daily_ad_performance:date, order_items:created_at, orders:created_at, web_sessions:session_started_at","this month, current month, november 2026, mtd, month to date, november revenue, november sales, monthly actuals, month so far","This Week (Black Week 2026), Today (Black Friday 2026-11-27), Yesterday (Black Thursday / Thanksgiving 2026-11-26), Previous Week (Pre-Black Week Baseline 2026-11-16 to 2026-11-22), Two Weeks Ago (2026-11-09 to 2026-11-15)",Temporal Simulation & Calendar Context
This Week (Black Week 2026),"In LumièreShop operations, 'this week' (or 'current week') refers to Black Week 2026 (the promotional week starting Monday, November 23, 2026 through Monday, November 30, 2026 / Cyber Monday). For actual transactions, inventory, and marketing events, records are available from Monday, November 23, 2026 00:00:00 UTC up to the latest reporting cutoff of Friday, November 27, 2026 14:30:00 UTC. Planned target pacing tables cover the entire 8-day promotional week (November 23–30, 2026).",LumièreShop Data Governance <governance@lumiereshop.internal>,"daily_ad_performance:date, daily_category_targets:date, order_items:created_at, orders:created_at, sales_event_stream:timestamp, web_sessions:session_started_at, weekly_commercial_targets:week_start_date","this week, current week, black week, black week 2026, promotional week, wtd, week to date, the week so far, current promotional week, sales this week","Today (Black Friday 2026-11-27), Yesterday (Black Thursday / Thanksgiving 2026-11-26), Previous Week (Pre-Black Week Baseline 2026-11-16 to 2026-11-22), Two Weeks Ago (2026-11-09 to 2026-11-15), This Month (November 2026 MTD)",Temporal Simulation & Calendar Context
Today (Black Friday 2026-11-27),"In LumièreShop operations, 'today' refers to Black Friday (Friday, November 27, 2026) from 00:00:00 UTC up to the reporting cutoff at 14:30:00 UTC. SQL queries filtering for 'today' or 'today's sales' must filter for date '2026-11-27' or timestamp range between '2026-11-27 00:00:00 UTC' and '2026-11-27 14:30:00 UTC'.",LumièreShop Data Governance <governance@lumiereshop.internal>,"category_15min_targets:date, daily_ad_performance:date, daily_category_targets:date, order_items:created_at, orders:created_at, sales_event_stream:timestamp, web_sessions:session_started_at","today, current day, this day, black friday, black friday 2026, today's actuals, today so far, friday actuals, today's data, today's sales","This Week (Black Week 2026), Yesterday (Black Thursday / Thanksgiving 2026-11-26), Previous Week (Pre-Black Week Baseline 2026-11-16 to 2026-11-22), Two Weeks Ago (2026-11-09 to 2026-11-15), This Month (November 2026 MTD)",Temporal Simulation & Calendar Context
Two Weeks Ago (2026-11-09 to 2026-11-15),"In the LumièreShop simulation, 'two weeks ago' refers to the 7-day baseline period spanning Monday, November 9, 2026 through Sunday, November 15, 2026.",LumièreShop Data Governance <governance@lumiereshop.internal>,"daily_ad_performance:date, order_items:created_at, orders:created_at, web_sessions:session_started_at","two weeks ago, 2 weeks ago, fortnight ago, early november baseline, 2 weeks prior, two weeks before","This Week (Black Week 2026), Today (Black Friday 2026-11-27), Yesterday (Black Thursday / Thanksgiving 2026-11-26), Previous Week (Pre-Black Week Baseline 2026-11-16 to 2026-11-22), This Month (November 2026 MTD)",Temporal Simulation & Calendar Context
Yesterday (Black Thursday / Thanksgiving 2026-11-26),"In the LumièreShop simulation, 'yesterday' refers to the full calendar day preceding Black Friday, which is Thursday, November 26, 2026 (Thanksgiving / Black Thursday). SQL queries filtering for 'yesterday' must filter for DATE = '2026-11-26' or timestamp between '2026-11-26 00:00:00 UTC' and '2026-11-26 23:59:59 UTC'.",LumièreShop Data Governance <governance@lumiereshop.internal>,"daily_ad_performance:date, daily_category_targets:date, order_items:created_at, orders:created_at, web_sessions:session_started_at","yesterday, previous day, day before today, black thursday, thanksgiving, thursday actuals, prior day, yesterday's data, yesterday's sales","This Week (Black Week 2026), Today (Black Friday 2026-11-27), Previous Week (Pre-Black Week Baseline 2026-11-16 to 2026-11-22), Two Weeks Ago (2026-11-09 to 2026-11-15), This Month (November 2026 MTD)",Temporal Simulation & Calendar Context
